mirna,GSM4654614_P1,GSM4654615_P2,GSM4654616_P3,GSM4654617_P4,GSM4654618_P5,GSM4654619_P6,GSM4654620_N1,GSM4654621_N2,GSM4654622_N3
hsa-miR-31-3p,0,0,0,0,0,0,0,0,0
hsa-miR-31-5p,0,0,0,1,0,0,0,0,2
hsa-miR-32-3p,7,5,5,5,5,0,0,0,5
hsa-miR-32-5p,64,33,277,76,186,29,45,26,22
hsa-miR-33a-3p,0,0,0,0,1,0,0,0,0
hsa-miR-33a-5p,9,1,2,13,11,0,0,2,5
hsa-miR-33b-3p,0,0,0,0,0,0,1,0,4
hsa-miR-33b-5p,0,0,0,1,0,0,0,0,0
hsa-miR-34a-3p,0,0,0,0,0,0,0,0,0
hsa-miR-34a-5p,3,5,7,0,1,0,5,1,0
hsa-miR-34b-3p,0,0,0,3,0,0,0,0,1
hsa-miR-34b-5p,0,0,0,1,0,0,0,0,0
hsa-miR-34c-3p,0,0,5,0,0,0,0,0,0
hsa-miR-34c-5p,4,80,153,64,17,4,0,4,0
hsa-miR-92a-1-5p,7,12,3,0,3,3,5,10,14
hsa-miR-92a-2-5p,2,0,0,0,0,0,0,0,0
hsa-miR-92a-3p,37793,41292,94239,16971,16184,105614,80529,69381,80838
hsa-miR-92b-3p,207,360,438,127,55,506,390,390,395
hsa-miR-92b-5p,131,195,254,38,20,204,228,187,151
hsa-miR-93-3p,21,5,29,4,18,56,34,11,29
hsa-miR-93-5p,908,974,1492,467,599,1345,1238,834,976
hsa-miR-95-3p,20,96,164,30,34,42,40,42,80
hsa-miR-95-5p,0,0,0,0,0,0,0,0,0
hsa-miR-96-3p,0,0,0,0,0,0,0,0,0
hsa-miR-96-5p,5,5,50,1,13,18,9,7,12
hsa-miR-98-3p,2,5,5,1,6,7,5,0,0
hsa-miR-98-5p,784,328,792,569,1042,356,269,349,616
hsa-miR-99a-3p,0,0,0,0,0,0,0,0,0
hsa-miR-99a-5p,17614,82668,44934,17377,10847,29853,16070,14662,21339
hsa-miR-99b-3p,214,315,173,90,100,145,62,78,109
hsa-miR-99b-5p,3132,4968,4089,1755,1288,3830,2089,2300,3220
hsa-miR-100-3p,0,0,0,0,0,0,0,0,0
hsa-miR-100-5p,1970,6992,4328,1222,1099,3421,1773,1584,2608
hsa-miR-101-3p,4249,5473,18159,2637,5223,4469,4410,2565,3968
hsa-miR-101-5p,0,2,0,0,0,0,0,0,5
hsa-miR-103a-2-5p,0,0,0,0,2,0,0,0,0
hsa-miR-103a-3p,1137,360,666,589,1291,560,701,473,516
hsa-miR-103b,0,0,0,0,0,0,0,0,0
hsa-miR-105-3p,0,0,0,0,0,0,0,0,0
hsa-miR-105-5p,0,1,0,0,0,0,0,0,0
hsa-miR-106a-3p,0,0,4,0,0,0,0,0,0
hsa-miR-106a-5p,15,38,70,10,16,62,35,24,59
hsa-miR-106b-3p,4082,3209,3713,1384,2395,4338,3851,1746,2429
hsa-miR-106b-5p,129,168,535,87,172,127,173,104,149
hsa-miR-107,0,2,1,2,5,0,1,0,1
hsa-miR-122-3p,0,0,0,0,1,0,0,0,0
hsa-miR-122-5p,204838,76332,356230,97448,43590,280097,267063,132144,349203
hsa-miR-124-3p,0,0,0,0,0,0,2,0,0
hsa-miR-124-5p,0,0,0,0,0,0,0,0,0
hsa-miR-125a-3p,28,49,55,15,10,35,14,29,15
hsa-miR-125a-5p,1352,2526,3506,1162,339,3520,1539,2402,3511
hsa-miR-125b-1-3p,17,46,49,19,10,37,26,11,7
hsa-miR-125b-2-3p,38,192,148,27,17,65,15,17,18
hsa-miR-125b-5p,520,1972,1677,526,153,1224,604,717,1122
hsa-miR-126-3p,39212,21131,53659,24449,43490,19743,13960,14234,27659
hsa-miR-126-5p,884,460,837,659,1049,337,212,275,365
hsa-miR-127-3p,274,442,563,312,558,92,101,100,371
hsa-miR-127-5p,5,7,19,3,12,6,3,0,6
hsa-miR-128-1-5p,9,1,1,1,0,2,3,2,0
hsa-miR-128-2-5p,0,0,0,0,0,0,0,0,0
hsa-miR-128-3p,15054,7104,13031,8071,8280,10319,8008,7973,11319
hsa-miR-129-1-3p,0,0,0,0,0,0,0,0,0
hsa-miR-129-2-3p,0,0,0,0,0,0,0,0,0
hsa-miR-129-5p,25,217,434,44,36,83,47,55,114
hsa-miR-130a-3p,80,44,132,54,103,56,36,32,46
hsa-miR-130a-5p,0,0,0,0,0,0,0,0,0
hsa-miR-130b-3p,15,24,56,11,13,37,16,16,14
hsa-miR-130b-5p,392,103,167,188,90,208,141,204,239
hsa-miR-132-3p,25,22,4,12,14,22,0,8,24
hsa-miR-132-5p,14,27,27,7,10,14,25,5,21
hsa-miR-133a-3p,10,0,0,1,5,0,0,0,0
hsa-miR-133a-5p,0,0,0,0,0,0,0,0,0
hsa-miR-133b,5,0,0,0,0,0,0,0,0
hsa-miR-134-3p,0,0,0,0,0,0,0,0,0
hsa-miR-134-5p,604,707,913,401,866,132,167,249,524
hsa-miR-135a-3p,1,0,0,22,3,0,5,0,0
hsa-miR-135a-5p,0,0,0,1,0,0,0,2,0
hsa-miR-135b-3p,0,0,0,0,0,0,0,0,0
hsa-miR-135b-5p,0,0,0,0,0,0,0,0,0
hsa-miR-136-3p,1,5,23,7,38,4,0,0,3
hsa-miR-136-5p,8,1,13,6,26,0,0,1,7
hsa-miR-137,0,0,0,0,0,0,0,0,0
hsa-miR-138-1-3p,0,0,1,0,0,0,1,0,0
hsa-miR-138-2-3p,0,0,0,0,0,0,0,0,0
hsa-miR-138-5p,0,0,1,0,0,0,0,0,0
hsa-miR-139-3p,668,343,385,293,307,411,174,282,421
hsa-miR-139-5p,777,764,1197,397,564,1137,470,655,782
hsa-miR-140-3p,3706,6182,8189,1426,2790,5694,4376,2917,3388
hsa-miR-140-5p,232,270,351,147,294,264,159,175,204
hsa-miR-141-3p,2,20,22,1,3,0,2,1,4
hsa-miR-141-5p,0,0,0,0,0,0,0,0,1
hsa-miR-142-3p,171,91,272,133,401,69,64,93,146
hsa-miR-142-5p,3753,5611,13464,1671,2995,6505,4118,3192,4046
hsa-miR-143-3p,18322,40837,33300,17308,16725,10710,3263,3832,6797
hsa-miR-143-5p,6,6,28,6,7,8,0,3,4
hsa-miR-144-3p,249,222,1373,173,371,168,209,157,161
hsa-miR-144-5p,227,181,384,44,62,308,553,156,249
hsa-miR-145-3p,320,1181,796,418,300,284,104,111,194
hsa-miR-145-5p,3,11,8,5,11,6,0,10,0
hsa-miR-146a-3p,0,0,0,10,0,0,0,3,4
hsa-miR-146a-5p,9344,3217,5838,4067,11364,4065,2148,3043,3542
hsa-miR-146b-3p,37,38,74,13,15,35,28,21,31
hsa-miR-146b-5p,9380,4125,9009,6546,10386,9341,4283,3552,5545
hsa-miR-147a,0,0,0,0,0,0,0,0,0
hsa-miR-147b,8,4,20,3,5,0,8,5,3
hsa-miR-148a-3p,92167,81841,190575,79298,124347,61748,53773,36474,65642
hsa-miR-148a-5p,246,142,200,114,189,58,49,40,15
hsa-miR-148b-3p,4437,1896,4380,2408,4574,1677,1623,971,2046
hsa-miR-148b-5p,31,8,36,31,22,21,8,11,27
hsa-miR-149-3p,0,0,0,0,0,0,0,0,0
hsa-miR-149-5p,1,10,2,4,2,3,9,0,5
hsa-miR-150-3p,90,322,393,35,65,628,407,316,382
hsa-miR-150-5p,395,393,922,226,297,4720,1442,1115,1483
hsa-miR-151a-3p,96041,41692,41770,38742,72284,27781,24785,16061,30591
hsa-miR-151a-5p,31,16,16,19,36,8,8,4,13
hsa-miR-151b,0,0,0,0,0,0,0,0,0
hsa-miR-152-3p,609,388,517,372,819,243,137,179,324
hsa-miR-152-5p,0,3,0,0,2,2,0,0,2
hsa-miR-153-3p,0,0,0,0,0,0,0,0,0
hsa-miR-153-5p,0,0,0,0,0,0,0,0,0
hsa-miR-154-3p,0,0,0,0,0,0,0,0,0
hsa-miR-154-5p,0,0,4,0,1,0,0,0,0
hsa-miR-155-3p,0,0,0,0,0,0,0,0,0
hsa-miR-155-5p,290,312,522,237,272,808,424,322,413
hsa-miR-181a-2-3p,330,262,474,87,176,443,273,155,236
hsa-miR-181a-3p,47,29,52,9,32,43,17,31,31
hsa-miR-181a-5p,3599,3570,7482,1317,2558,4310,2629,3162,3234
hsa-miR-181b-3p,0,0,0,0,0,0,0,0,0
hsa-miR-181b-5p,207,253,717,113,218,277,132,187,190
hsa-miR-181c-3p,24,17,13,11,40,2,6,2,8
hsa-miR-181c-5p,9,4,7,0,4,13,0,7,7
hsa-miR-181d-3p,0,0,0,0,0,0,0,0,0
hsa-miR-181d-5p,152,67,76,60,136,39,21,54,65
hsa-miR-182-3p,0,1,6,2,2,0,1,0,0
hsa-miR-182-5p,2513,1468,4812,476,807,2643,4106,860,1892
hsa-miR-183-3p,1,1,4,0,0,2,8,1,5
hsa-miR-183-5p,1955,1987,7155,530,657,3258,4521,1501,2840
hsa-miR-184,9,18,42,7,4,36,37,12,24
hsa-miR-185-3p,228,180,195,88,136,140,190,128,116
hsa-miR-185-5p,2904,5445,12681,2584,3866,6855,7608,4929,5791
hsa-miR-186-3p,0,0,0,0,0,0,0,0,0
hsa-miR-186-5p,2778,2769,5588,1114,1785,3659,2436,1691,1858
hsa-miR-187-3p,0,8,1,0,2,0,0,0,0
hsa-miR-187-5p,0,0,0,0,0,0,0,0,0
hsa-miR-188-3p,0,0,0,0,0,0,0,0,0
hsa-miR-188-5p,1,12,4,2,1,18,3,3,4
hsa-miR-190a-3p,0,0,0,0,0,0,0,0,0
hsa-miR-190a-5p,0,0,0,2,0,0,0,2,0
hsa-miR-190b,12,3,32,3,17,10,3,14,11
hsa-miR-191-3p,67,6,40,23,25,16,13,16,13
hsa-miR-191-5p,11295,4628,6824,6533,9240,6723,4759,4226,5322
hsa-miR-192-3p,0,0,0,0,0,0,0,0,0
hsa-miR-192-5p,3212,2635,9058,1812,1865,3361,3573,1969,3875
hsa-miR-193a-3p,0,0,0,1,1,0,0,0,0
hsa-miR-193a-5p,213,514,652,165,84,749,364,434,574
hsa-miR-193b-3p,0,10,13,2,1,8,0,5,0
hsa-miR-193b-5p,51,229,163,36,17,174,86,85,177
hsa-miR-194-3p,0,0,4,4,1,6,1,0,0
hsa-miR-194-5p,462,719,1473,246,260,646,526,473,683
hsa-miR-195-3p,67,354,250,47,40,114,99,81,111
hsa-miR-195-5p,8,30,21,8,8,0,8,6,20
hsa-miR-196a-3p,0,0,0,0,0,0,0,0,0
hsa-miR-196a-5p,3,2,6,0,3,17,1,2,0
hsa-miR-196b-3p,0,0,0,0,0,0,0,0,0
hsa-miR-196b-5p,51,55,82,40,64,58,36,69,64
hsa-miR-197-3p,56,28,18,51,46,113,41,90,96
hsa-miR-197-5p,8,18,13,7,2,16,3,6,10
hsa-miR-198,0,0,0,0,0,0,0,0,0
hsa-miR-199a-3p,3,0,0,2,4,0,3,0,0
hsa-miR-199a-5p,3660,723,1384,2112,4220,432,193,281,664
hsa-miR-199b-3p,0,0,0,0,0,0,0,0,0
hsa-miR-199b-5p,29,58,36,21,33,9,26,16,41
hsa-miR-200a-3p,93,1267,644,107,95,346,334,321,284
hsa-miR-200a-5p,1,20,14,8,7,19,0,6,16
hsa-miR-200b-3p,41,160,81,51,35,96,62,59,35
hsa-miR-200b-5p,7,24,20,5,5,18,5,9,2
hsa-miR-200c-3p,126,262,151,85,72,242,64,115,107
hsa-miR-200c-5p,0,0,0,0,0,0,0,0,0
hsa-miR-202-3p,2,42,125,6,2,11,30,6,49
hsa-miR-202-5p,0,7,63,0,2,0,0,0,0
hsa-miR-203a,18,54,294,33,37,68,50,20,81
hsa-miR-203b-3p,0,1,0,0,0,0,0,0,0
hsa-miR-203b-5p,0,0,0,0,0,0,0,0,0
hsa-miR-204-3p,11,18,18,4,2,26,4,12,17
hsa-miR-204-5p,36,41,9,11,22,10,72,23,31
hsa-miR-205-3p,0,0,0,0,0,0,0,0,0
hsa-miR-205-5p,20,34,11,16,2,12,1,0,14
hsa-miR-206,37,544,294,144,28,116,98,411,174
hsa-miR-208a-3p,0,0,0,0,0,0,0,0,0
hsa-miR-208a-5p,0,0,0,0,0,0,0,0,0
hsa-miR-208b-3p,0,0,0,0,0,0,0,1,0
hsa-miR-208b-5p,0,0,0,0,0,0,0,0,0
hsa-miR-210-3p,65,49,120,24,36,66,89,52,90
hsa-miR-210-5p,0,0,0,0,0,0,0,0,0
hsa-miR-211-3p,0,0,0,0,0,0,0,0,0
hsa-miR-211-5p,2,0,0,0,0,0,0,0,0
hsa-miR-212-3p,1,0,0,0,0,0,0,0,0
hsa-miR-212-5p,17,5,8,3,6,0,9,0,0
hsa-miR-214-3p,3,81,52,11,7,9,4,3,19
hsa-miR-214-5p,15,94,53,17,15,13,14,16,52
hsa-miR-215-3p,0,0,0,0,0,0,0,0,0
hsa-miR-215-5p,37,93,371,39,106,129,146,110,296
hsa-miR-216a-3p,1,0,0,0,0,0,0,0,0
hsa-miR-216a-5p,0,0,0,0,2,0,0,1,0
hsa-miR-216b-3p,0,0,0,0,0,0,0,0,0
hsa-miR-216b-5p,0,0,6,0,0,0,4,8,2
hsa-miR-217,0,0,3,2,0,0,0,1,4
hsa-miR-218-1-3p,0,0,0,0,0,0,0,0,0
hsa-miR-218-2-3p,0,0,0,0,0,0,0,0,0
hsa-miR-218-5p,2,15,41,7,16,43,0,0,0
hsa-miR-219a-1-3p,18,14,15,6,8,9,29,7,8
hsa-miR-219a-2-3p,0,0,0,0,0,1,1,0,2
hsa-miR-219a-5p,0,0,0,0,0,0,0,0,0
hsa-miR-219b-3p,0,0,0,0,0,0,0,0,0
hsa-miR-219b-5p,0,0,0,2,0,0,0,0,0
hsa-miR-221-3p,3041,797,1265,1859,3117,894,369,505,859
hsa-miR-221-5p,101,36,71,35,91,92,41,55,30
hsa-miR-222-3p,630,1076,1957,417,375,1112,649,637,798
hsa-miR-222-5p,0,0,0,0,2,0,0,0,0
hsa-miR-223-3p,330,103,148,253,631,75,46,101,113
hsa-miR-223-5p,4963,3710,5170,2715,4289,2884,1872,2766,4057
hsa-miR-224-3p,0,0,0,0,0,0,0,0,0
hsa-miR-224-5p,319,277,265,414,332,151,85,75,79
hsa-miR-296-3p,6,13,27,3,2,7,4,1,14
hsa-miR-296-5p,3,12,2,3,0,26,14,9,2
hsa-miR-297,0,0,0,0,0,0,0,0,0
hsa-miR-298,0,0,0,0,0,0,0,0,0
hsa-miR-299-3p,0,0,5,3,4,0,0,1,0
hsa-miR-299-5p,0,0,0,0,1,0,0,0,4
hsa-miR-300,0,0,0,0,0,0,0,0,0
hsa-miR-301a-3p,1,1,0,2,2,0,0,0,0
hsa-miR-301a-5p,10,4,5,1,6,0,8,12,0
hsa-miR-301b,1,0,0,3,3,0,3,0,0
hsa-miR-302a-3p,0,0,0,0,0,0,0,0,0
hsa-miR-302a-5p,0,0,0,0,0,0,0,0,0
hsa-miR-302b-3p,0,0,0,0,0,0,0,0,0
hsa-miR-302b-5p,0,0,0,0,0,0,0,0,0
hsa-miR-302c-3p,0,0,0,0,0,0,0,0,0
hsa-miR-302c-5p,0,0,0,0,0,0,0,0,0
hsa-miR-302d-3p,0,0,0,0,0,0,0,0,0
hsa-miR-302d-5p,0,0,0,0,0,0,0,0,0
hsa-miR-302e,0,0,0,0,0,0,0,0,0
hsa-miR-302f,0,0,0,0,0,0,0,0,0
hsa-miR-320a,23892,52429,62492,15589,19398,73571,54532,46843,45834
hsa-miR-320b,616,1465,2028,297,319,2357,1643,1511,1024
hsa-miR-320c,113,321,459,74,80,372,275,226,175
hsa-miR-320d,41,87,109,12,11,68,53,44,83
hsa-miR-320e,3,9,11,1,1,10,4,11,5
hsa-miR-323a-3p,52,112,120,74,82,36,41,46,104
hsa-miR-323a-5p,3,2,4,4,2,3,0,0,6
hsa-miR-323b-3p,110,174,158,61,174,40,11,44,141
hsa-miR-323b-5p,0,0,0,0,0,0,0,0,0
hsa-miR-324-3p,14,10,16,4,3,42,7,5,6
hsa-miR-324-5p,6,16,4,5,9,9,7,6,10
hsa-miR-325,0,0,0,0,0,0,0,0,0
hsa-miR-326,126,43,44,68,148,25,8,39,61
hsa-miR-328-3p,1460,469,1085,970,594,1150,763,1302,1499
hsa-miR-328-5p,0,0,0,0,0,0,0,0,0
hsa-miR-329-3p,6,3,15,10,14,4,0,3,4
hsa-miR-329-5p,1,0,4,1,1,0,0,0,4
hsa-miR-330-3p,1101,297,358,567,593,339,127,203,475
hsa-miR-330-5p,37,16,31,22,19,21,28,12,13
hsa-miR-331-3p,35,4,0,12,23,7,8,15,36
hsa-miR-331-5p,38,22,58,22,34,35,45,22,28
hsa-miR-335-3p,978,125,183,429,824,188,69,108,303
hsa-miR-335-5p,59,32,160,62,126,44,30,46,32
hsa-miR-337-3p,5,10,12,10,31,8,2,6,2
hsa-miR-337-5p,0,0,6,1,6,0,0,0,0
hsa-miR-338-3p,0,0,2,3,1,2,0,0,0
hsa-miR-338-5p,99,63,114,22,76,74,55,79,60
hsa-miR-339-3p,234,211,366,145,169,356,389,171,225
hsa-miR-339-5p,52,9,54,34,54,63,18,27,49
hsa-miR-340-3p,139,34,75,62,102,46,49,79,140
hsa-miR-340-5p,539,204,902,795,1530,194,169,184,250
hsa-miR-342-3p,70,61,118,96,110,206,100,109,152
hsa-miR-342-5p,630,1067,1720,287,347,2488,1519,1099,1335
hsa-miR-345-3p,0,0,0,0,0,0,0,2,0
hsa-miR-345-5p,78,154,159,48,72,156,125,73,52
hsa-miR-346,0,0,0,0,0,0,0,0,0
hsa-miR-361-3p,6363,4038,4310,2497,3406,3663,3280,2405,2775
hsa-miR-361-5p,79,81,110,39,65,174,68,105,118
hsa-miR-362-3p,0,0,0,0,0,0,0,0,0
hsa-miR-362-5p,1,1,7,3,2,0,0,3,0
hsa-miR-363-3p,2263,2622,5536,739,1489,3355,3971,2022,2088
hsa-miR-363-5p,55,52,104,14,11,89,137,46,77
hsa-miR-365a-3p,0,0,0,0,0,0,0,0,0
hsa-miR-365a-5p,2,17,6,0,0,8,5,2,0
hsa-miR-365b-3p,0,0,0,0,0,0,0,0,0
hsa-miR-365b-5p,6,3,8,0,0,12,2,14,0
hsa-miR-367-3p,0,0,0,0,0,0,0,0,0
hsa-miR-367-5p,0,0,0,0,0,0,0,0,0
hsa-miR-369-3p,1,0,2,4,13,0,0,2,0
hsa-miR-369-5p,15,19,12,28,30,8,4,14,10
hsa-miR-370-3p,222,519,1021,353,1441,153,263,263,962
hsa-miR-370-5p,0,0,9,0,0,0,5,0,0
hsa-miR-371a-3p,0,0,0,0,0,0,0,0,0
hsa-miR-371a-5p,0,0,3,0,0,0,0,0,0
hsa-miR-371b-3p,0,0,0,0,0,0,0,0,0
hsa-miR-371b-5p,0,2,8,0,0,0,0,0,7
hsa-miR-372-3p,0,15,13,0,0,0,0,1,0
hsa-miR-372-5p,0,0,0,0,0,0,0,0,0
hsa-miR-373-3p,0,0,0,0,0,0,0,0,0
hsa-miR-373-5p,0,0,0,0,0,0,0,0,0
hsa-miR-374a-3p,38,13,62,18,62,11,14,6,15
hsa-miR-374a-5p,143,56,180,63,152,76,75,48,33
hsa-miR-374b-3p,8,0,8,4,9,2,0,0,0
hsa-miR-374b-5p,73,15,52,38,74,10,27,16,27
hsa-miR-374c-3p,0,0,0,0,0,0,0,0,0
hsa-miR-374c-5p,0,0,0,0,0,0,0,0,0
hsa-miR-375,798,2594,3409,538,217,4502,4035,5139,6741
hsa-miR-376a-2-5p,0,0,0,0,0,0,0,0,0
hsa-miR-376a-3p,0,0,0,1,3,0,0,0,0
hsa-miR-376a-5p,0,0,0,0,0,0,0,0,0
hsa-miR-376b-3p,0,0,0,0,0,0,0,0,0
hsa-miR-376b-5p,0,0,0,0,0,0,0,0,0
hsa-miR-376c-3p,0,0,0,3,5,0,0,0,0
hsa-miR-376c-5p,0,0,0,0,0,0,0,0,0
hsa-miR-377-3p,0,2,12,3,8,0,0,0,0
hsa-miR-377-5p,0,0,0,0,4,0,0,0,8
hsa-miR-378a-3p,1142,1226,2312,529,662,1972,1049,877,1367
hsa-miR-378a-5p,13,12,14,3,6,47,18,10,13
hsa-miR-378b,0,0,0,0,0,0,0,0,0
hsa-miR-378c,29,24,43,8,10,30,26,24,24
hsa-miR-378d,0,2,3,0,2,2,1,0,2
hsa-miR-378e,0,8,0,0,0,1,0,0,3
hsa-miR-378f,0,0,1,0,0,0,0,1,0
hsa-miR-378g,1,0,0,1,0,2,1,0,0
hsa-miR-378h,0,0,0,0,0,0,0,0,0
hsa-miR-378i,3,9,5,0,1,9,6,5,8
hsa-miR-378j,0,0,0,0,0,0,0,0,0
hsa-miR-379-3p,2,4,3,4,14,0,0,2,4
hsa-miR-379-5p,116,191,238,161,542,35,31,52,247
hsa-miR-380-3p,0,0,0,0,0,0,0,0,0
hsa-miR-380-5p,0,0,3,0,2,0,0,0,7
hsa-miR-381-3p,720,828,1128,525,1746,131,171,159,418
hsa-miR-381-5p,0,0,0,0,0,0,0,0,0
hsa-miR-382-3p,11,12,20,3,47,6,3,7,12
hsa-miR-382-5p,282,425,577,262,521,138,99,116,294
hsa-miR-383-3p,0,0,0,0,0,0,0,0,0
hsa-miR-383-5p,0,3,0,1,0,0,0,0,0
hsa-miR-384,0,0,0,0,0,0,0,0,0
hsa-miR-409-3p,1842,2349,4008,1723,2640,637,974,1175,4045
hsa-miR-409-5p,5,7,10,5,15,0,0,8,26
